fecha;AGRO_1T_17;AGRO_2T_17;AGRO_3T_17;AGRO_4T_17;AGRO_1T_18;AGRO_2T_18
I 1997*;86,8;86,8;86,8;86,8;86,8;86,8
II 1997*;79,6;79,6;79,6;79,6;79,6;79,6
III 1997*;82;82;82;82;82;82
IV 1997*;113,7;113,7;113,7;113,7;113,7;113,7
I 1998*;88,5;88,5;88,5;88,5;88,5;88,5
II 1998*;80,7;80,7;80,7;80,7;80,7;80,7
III 1998*;89,1;89,1;89,1;89,1;89,1;89,1
IV 1998*;118,5;118,5;118,5;118,5;118,5;118,5
I 1999*;88,7;88,7;88,7;88,7;88,7;88,7
II 1999*;78,9;78,9;78,9;78,9;78,9;78,9
III 1999*;81,4;81,4;81,4;81,4;81,4;81,4
IV 1999*;111,4;111,4;111,4;111,4;111,4;111,4
I 2000*;86,8;86,8;86,8;86,8;86,8;86,8
II 2000*;74,4;74,4;74,4;74,4;74,4;74,4
III 2000*;80,3;80,3;80,3;80,3;80,3;80,3
IV 2000*;105,6;105,6;105,6;105,6;105,6;105,6
I 2001*;79,8;79,8;79,8;79,8;79,8;79,8
II 2001*;67;67;67;67;67;67
III 2001*;70,2;70,2;70,2;70,2;70,2;70,2
IV 2001*;101,2;101,2;101,2;101,2;101,2;101,2
I 2002*;75,1;75,1;75,1;75,1;75,1;75,1
II 2002*;76,3;76,3;76,3;76,3;76,3;76,3
III 2002*;72,1;72,1;72,1;72,1;72,1;72,1
IV 2002*;102,8;102,8;102,8;102,8;102,8;102,8
I 2003*;81;81;81;81;81;81
II 2003*;77,9;77,9;77,9;77,9;77,9;77,9
III 2003*;81,7;81,7;81,7;81,7;81,7;81,7
IV 2003*;118;118;118;118;118;118
I 2004*;91,7;91,7;91,7;91,7;91,7;91,7
II 2004*;85,1;85,1;85,1;85,1;85,1;85,1
III 2004*;87,4;87,4;87,4;87,4;87,4;87,4
IV 2004*;123,5;123,5;123,5;123,5;123,5;123,5
I 2005*;96,3;96,3;96,3;96,3;96,3;96,3
II 2005*;89,9;89,9;89,9;89,9;89,9;89,9
III 2005*;87,2;87,2;87,2;87,2;87,2;87,2
IV 2005*;126,6;126,6;126,6;126,6;126,6;126,6
I 2006*;106,2;106,2;106,2;106,2;106,2;106,2
II 2006*;97,2;97,2;97,2;97,2;97,2;97,2
III 2006*;92,5;92,5;92,5;92,5;92,5;92,5
IV 2006*;125,1;125,1;125,1;125,1;125,1;125,1
I 2007*;94,4;94,4;94,4;94,4;94,4;94,4
II 2007*;90,5;90,5;90,5;90,5;90,5;90,5
III 2007*;81,5;81,5;81,5;81,5;81,5;81,5
IV 2007*;112,4;112,4;112,4;112,4;112,4;112,4
I 2008*;92,3;92,3;92,3;92,3;92,3;92,3
II 2008*;90,2;90,2;90,2;90,2;90,2;90,2
III 2008*;88,8;88,8;88,8;88,8;88,8;88,8
IV 2008*;116,1;116,1;116,1;116,1;116,1;116,1
I 2009*;93,4;93,4;93,4;93,4;93,4;93,4
II 2009*;91,4;91,4;91,4;91,4;91,4;91,4
III 2009*;92,6;92,6;92,6;92,6;92,6;92,6
IV 2009*;123,5;123,5;123,5;123,5;123,5;123,5
I 2010*;94,2;94,2;94,2;94,2;94,2;94,2
II 2010*;88;88;88;88;88;88
III 2010*;93,4;93,4;93,4;93,4;93,4;93,4
IV 2010*;119,7;119,7;119,7;119,7;119,7;119,7
I 2011*;105,3;105,3;105,3;105,3;105,3;105,3
II 2011*;100,2;100,2;100,2;100,2;100,2;100,2
III 2011*;101,9;101,9;101,9;101,9;101,9;101,9
IV 2011*;141,4;141,4;141,4;141,4;141,4;141,4
I 2012*;105,3;105,3;105,3;105,3;105,3;105,3
II 2012*;98,8;98,8;98,8;98,8;98,8;98,8
III 2012*;100,7;100,7;100,7;100,7;100,7;100,7
IV 2012*;141,5;141,5;141,5;141,6;141,6;141,6
I 2013*;112,5;112,5;112,5;112,3;112,3;112,3
II 2013*;101,6;101,6;101,6;101,6;101,6;101,6
III 2013*;99,7;99,7;99,7;99,9;99,9;99,9
IV 2013*;143,9;143,9;143,9;143,8;143,8;143,8
I 2014*;112,5;112,5;112,5;111,7;111,7;111,7
II 2014*;101,8;101,8;101,8;102;102;102
III 2014*;101,6;101,6;101,6;101,9;101,9;101,9
IV 2014*;143,5;143,5;143,5;143,8;143,8;143,8
I 2015*;114,9;114,9;114,9;114,3;114,3;114,3
II 2015*;100,2;100,2;100,2;100,4;100,4;100,4
III 2015*;106,9;106,9;106,9;107;107;107
IV 2015*;133,1;133,1;133,1;133,3;133,3;133,3
I 2016*;111,4;111,4;111,4;111,2;111,2;111,2
II 2016*;100;100;100;101,3;101,3;101,3
III 2016*;108,8;108,8;108,8;110,7;110,7;110,7
IV 2016*;139;139;139;144,4;144,4;144,4
I 2017*;117,4;118,7;118,9;117,9;117,9;117,9
II 2017*;;104,9;104,8;104,3;104,3;104,3
III 2017*;;;106,6;106,6;106,6;106,6
IV 2017*;;;;135,1;135,1;135,1
I 2018*;;;;;112,3;111,7
II 2018*;;;;;;102,1
