fecha;IVF_PIB_1T_17;IVF_PIB_2T_17;IVF_PIB_3T_17;IVF_PIB_4T_17;IVF_PIB_1T_18;IVF_PIB_2T_18
I 1997*;91,17539532;91,17539532;91,17539532;91,25948055;91,25948055;91,25948055
II 1997*;98,16172034;98,16172034;98,16172034;98,08924072;98,08924072;98,08924072
III 1997*;98,80865764;98,80865764;98,80865764;98,74772332;98,74772332;98,74772332
IV 1997*;106,192829;106,192829;106,192829;106,2421577;106,2421577;106,2421577
I 1998*;99,86359024;99,86359024;99,86359024;99,95400339;99,95400339;99,95400339
II 1998*;98,43425317;98,43425317;98,43425317;98,35982473;98,35982473;98,35982473
III 1998*;103,6936003;103,6936003;103,6936003;103,6279183;103,6279183;103,6279183
IV 1998*;110,1668865;110,1668865;110,1668865;110,2165839;110,2165839;110,2165839
I 1999*;99,89352692;99,89352692;99,89352692;99,98350493;99,98350493;99,98350493
II 1999*;98,45295666;98,45295666;98,45295666;98,37819025;98,37819025;98,37819025
III 1999*;99,40619615;99,40619615;99,40619615;99,34305383;99,34305383;99,34305383
IV 1999*;106,4130261;106,4130261;106,4130261;106,4609568;106,4609568;106,4609568
I 2000*;100,586863;100,586863;100,586863;100,6769183;100,6769183;100,6769183
II 2000*;95,87888094;95,87888094;95,87888094;95,80563853;95,80563853;95,80563853
III 2000*;97,40709416;97,40709416;97,40709416;97,34474464;97,34474464;97,34474464
IV 2000*;102,4927499;102,4927499;102,4927499;102,5382866;102,5382866;102,5382866
I 2001*;97,05398617;97,05398617;97,05398617;97,1405517;97,1405517;97,1405517
II 2001*;92,63504688;92,63504688;92,63504688;92,56406261;92,56406261;92,56406261
III 2001*;92,90992244;92,90992244;92,90992244;92,85039451;92,85039451;92,85039451
IV 2001*;98,52982427;98,52982427;98,52982427;98,57377095;98,57377095;98,57377095
I 2002*;88,86447892;88,86447892;88,86447892;88,94400164;88,94400164;88,94400164
II 2002*;88,93005406;88,93005406;88,93005406;88,86250058;88,86250058;88,86250058
III 2002*;84,2543552;84,2543552;84,2543552;84,20122066;84,20122066;84,20122066
IV 2002*;89,61098682;89,61098682;89,61098682;89,65215212;89,65215212;89,65215212
I 2003*;82,63182003;82,63182003;82,63182003;82,70727387;82,70727387;82,70727387
II 2003*;86,41816281;86,41816281;86,41816281;86,35339777;86,35339777;86,35339777
III 2003*;88,10171974;88,10171974;88,10171974;88,04649876;88,04649876;88,04649876
IV 2003*;97,34003285;97,34003285;97,34003285;97,38456503;97,38456503;97,38456503
I 2004*;91,1662766;91,1662766;91,1662766;91,24785737;91,24785737;91,24785737
II 2004*;89,50698699;89,50698699;89,50698699;89,43867499;89,43867499;89,43867499
III 2004*;90,95828067;90,95828067;90,95828067;90,90016099;90,90016099;90,90016099
IV 2004*;100,5995261;100,5995261;100,5995261;100,644377;100,644377;100,644377
I 2005*;94,49628844;94,49628844;94,49628844;94,58145457;94,58145457;94,58145457
II 2005*;97,24207315;97,24207315;97,24207315;97,16871561;97,16871561;97,16871561
III 2005*;99,07062642;99,07062642;99,07062642;99,00851637;99,00851637;99,00851637
IV 2005*;109,191012;109,191012;109,191012;109,2413135;109,2413135;109,2413135
I 2006*;101,7636727;101,7636727;101,7636727;101,7421336;101,7421336;101,7421336
II 2006*;100,6998697;100,6998697;100,6998697;100,7059688;100,7059688;100,7059688
III 2006*;102,3606336;102,3606336;102,3606336;102,3656917;102,3656917;102,3656917
IV 2006*;111,5701333;111,5701333;111,5701333;111,5805153;111,5805153;111,5805153
I 2007*;106,4243438;106,4243438;106,4243438;106,3847237;106,3847237;106,3847237
II 2007*;107,0031778;107,0031778;107,0031778;107,0162992;107,0162992;107,0162992
III 2007*;110,0430393;110,0430393;110,0430393;110,0634105;110,0634105;110,0634105
IV 2007*;120,1622273;120,1622273;120,1622273;120,168355;120,168355;120,168355
I 2008*;112,2554572;112,2554572;112,2554572;112,2552268;112,2552268;112,2552268
II 2008*;115,0670775;115,0670775;115,0670775;115,0144607;115,0144607;115,0144607
III 2008*;119,3137162;119,3137162;119,3137162;119,3054137;119,3054137;119,3054137
IV 2008*;128,832268;128,832268;128,832268;128,8934178;128,8934178;128,8934178
I 2009*;116,7793214;116,7793214;116,7793214;116,8131636;116,8131636;116,8131636
II 2009*;118,2723682;118,2723682;118,2723682;118,273181;118,273181;118,273181
III 2009*;124,5420292;124,5420292;124,5420292;124,5234306;124,5234306;124,5234306
IV 2009*;136,0512792;136,0512792;136,0512792;136,0352229;136,0352229;136,0352229
I 2010*;128,1034929;128,1034929;128,1034929;128,1252235;128,1252235;128,1252235
II 2010*;130,7202136;130,7202136;130,7202136;130,6891789;130,6891789;130,6891789
III 2010*;132,8550583;132,8550583;132,8550583;132,887816;132,887816;132,887816
IV 2010*;142,6434429;142,6434429;142,6434429;142,6199892;142,6199892;142,6199892
I 2011*;135,3617777;135,3617777;135,3617777;135,3178827;135,3178827;135,3178827
II 2011*;136,7663417;136,7663417;136,7663417;136,7291782;136,7291782;136,7291782
III 2011*;142,7185749;142,7185749;142,7185749;142,7490978;142,7490978;142,7490978
IV 2011*;147,0579364;147,0579364;147,0579364;147,108472;147,108472;147,108472
I 2012*;139,8754093;139,8754093;139,8754093;139,8485127;139,8485127;139,8485127
II 2012*;140,7784012;140,7784012;140,7784012;140,7869706;140,7869706;140,7869706
III 2012*;146,5413029;146,5413029;146,5413029;146,55631;146,55631;146,55631
IV 2012*;154,5907074;154,5907074;154,5907074;154,5940275;154,5940275;154,5940275
I 2013*;145,3888503;145,3888503;145,3888503;145,3111273;145,3111273;145,3111273
II 2013*;149,0924387;149,0924387;149,0924387;149,0529568;149,0529568;149,0529568
III 2013*;151,418711;151,418711;151,418711;151,4632346;151,4632346;151,4632346
IV 2013*;162,866363;162,866363;162,866363;162,9390443;162,9390443;162,9390443
I 2014*;150,3550363;150,3550363;150,3550363;150,1382182;150,1382182;150,1382182
II 2014*;154,8681401;154,8681401;154,8681401;155,0204243;155,0204243;155,0204243
III 2014*;156,9007989;156,9007989;156,9007989;157,18118;157,18118;157,18118
IV 2014*;166,3590593;166,3590593;166,3590593;166,1432121;166,1432121;166,1432121
I 2015*;156,1827027;156,1827027;156,1827027;156,1561872;156,1561872;156,1561872
II 2015*;153,1873707;153,1873707;153,1873707;153,3729957;153,3729957;153,3729957
III 2015*;157,314522;157,314522;157,314522;157,2269508;157,2269508;157,2269508
IV 2015*;164,1284852;164,1284852;164,1284852;164,0569467;164,0569467;164,0569467
I 2016*;156,1394591;156,1394591;156,1394591;156,1577302;156,1577302;156,1577302
II 2016*;155,1097747;155,1097747;155,1097747;155,2761039;155,2761039;155,2761039
III 2016*;159,0373763;159,0373763;159,0373763;160,2981856;160,2981856;160,2981856
IV 2016*;169,6949064;169,6949064;169,6949064;169,7405285;169,7405285;169,7405285
I 2017*;162,8345795;163,0620856;162,8201293;162,5575814;162,5575814;162,5575814
II 2017*;;159,4211356;159,5100929;159,5699843;159,5699843;159,5699843
III 2017*;;;162,5470272;163,3268602;163,3268602;163,3268602
IV 2017*;;;;173,0600238;173,0600238;173,0600238
I 2018*;;;;;166,156714;166,1626267
I I2018*;;;;;;163,5823244
